technique,param,attacker_score,m5b_threshold,detected_by_m5b,rank,of,percentile,m5a_flag_rate,m5a_detects
slow_scan,1,0.053104,0.000924,True,14,83385,99.983,0.005,False
slow_scan,2,0.015056,0.000924,True,56,83386,99.933,0.005,False
slow_scan,5,0.002486,0.000924,True,373,83389,99.553,0.005,False
slow_scan,10,0.000661,0.000924,False,1077,83394,98.709,0.005,False
slow_scan,20,0.000185,0.000924,False,2242,83404,97.312,0.005,False
slow_scan,50,6e-05,0.000924,False,3869,83434,95.363,0.005,False
distributed_scan,1,0.053104,0.000924,True,14,83385,99.983,0.005,False
distributed_scan,2,0.014534,0.000924,True,59,83386,99.929,0.005,False
distributed_scan,4,0.003463,0.000924,True,271,83388,99.675,0.005,False
distributed_scan,8,0.000858,0.000924,False,892,83392,98.93,0.005,False
distributed_scan,16,0.000211,0.000924,False,2104,83400,97.477,0.005,False
distributed_scan,32,6.1e-05,0.000924,False,3822,83416,95.418,0.005,False
cover_traffic,0,0.053104,0.000924,True,14,83385,99.983,0.005,False
cover_traffic,50,0.051919,0.000924,True,14,83385,99.983,0.008,False
cover_traffic,200,0.050409,0.000924,True,15,83385,99.982,0.01,False
cover_traffic,500,0.056911,0.000924,True,14,83385,99.983,0.01,False
cover_traffic,1000,0.090531,0.000924,True,12,83385,99.986,0.0092,False
cover_traffic,2000,0.116689,0.000924,True,6,83385,99.993,0.0086,False
port_narrowing,8,0.05312,0.000924,True,14,83385,99.983,0.005,False
port_narrowing,4,0.053106,0.000924,True,14,83385,99.983,0.005,False
port_narrowing,3,0.053104,0.000924,True,14,83385,99.983,0.005,False
port_narrowing,2,0.053103,0.000924,True,14,83385,99.983,0.005,False
port_narrowing,1,0.053102,0.000924,True,14,83385,99.983,0.005,False
